local_level_id,district_id,type_id,type_code,name_en,name_ne
337,30,2,SUB_METROPOLITAN_CITY,Hetauda,हेटौडा
338,30,3,MUNICIPALITY,Thaha,थाहा
339,30,4,RURAL_MUNICIPALITY,Bhimphedi,भिमफेदी
340,30,4,RURAL_MUNICIPALITY,Makawanpurgadhi,मकवानपुरगढी
341,30,4,RURAL_MUNICIPALITY,Manahari,मनहरी
342,30,4,RURAL_MUNICIPALITY,Raksirang,राक्सिराङ्ग
343,30,4,RURAL_MUNICIPALITY,Bakaiya,बकैया
344,30,4,RURAL_MUNICIPALITY,Bagmati,बाग्मति
345,30,4,RURAL_MUNICIPALITY,Kailash,कैलाश
346,30,4,RURAL_MUNICIPALITY,Indrasarowar,इन्द्रसरोबर
347,31,3,MUNICIPALITY,Bidur,विदुर
348,31,3,MUNICIPALITY,Belkotgadhi,बेलकोटगढी
349,31,4,RURAL_MUNICIPALITY,Kakani,ककनी
350,31,4,RURAL_MUNICIPALITY,Panchakanya,पञ्चकन्या
351,31,4,RURAL_MUNICIPALITY,Likhu,लिखु
352,31,4,RURAL_MUNICIPALITY,Dupcheshwar,दुप्चेश्वर
353,31,4,RURAL_MUNICIPALITY,Shivapuri,शिवपुरी
354,31,4,RURAL_MUNICIPALITY,Tadi,तादी
355,31,4,RURAL_MUNICIPALITY,Suryagadhi,सुर्यगढी
356,31,4,RURAL_MUNICIPALITY,Tarkeshwar,तारकेश्वर
357,31,4,RURAL_MUNICIPALITY,Kispang,किस्पाङ
358,31,4,RURAL_MUNICIPALITY,Myagang,म्यगङ
359,32,3,MUNICIPALITY,Manthali,मन्थली
360,32,3,MUNICIPALITY,Ramechhap,रामेछाप
361,32,4,RURAL_MUNICIPALITY,Umakunda,उमाकुण्ड
362,32,4,RURAL_MUNICIPALITY,Khandadevi,खाँडादेवी
363,32,4,RURAL_MUNICIPALITY,Doramba,दोरम्बा
364,32,4,RURAL_MUNICIPALITY,Gokulganga,गोकुलगङ्गा
365,32,4,RURAL_MUNICIPALITY,LikhuTamakoshi,लिखु तामाकोशी
366,32,4,RURAL_MUNICIPALITY,Sunapati,सुनापती
367,33,4,RURAL_MUNICIPALITY,Kalika,कालिका
368,33,4,RURAL_MUNICIPALITY,Gosaikunda,गोसाईकुण्ड
369,33,4,RURAL_MUNICIPALITY,Naukunda,नौकुण्ड
370,33,4,RURAL_MUNICIPALITY,Parbatikunda,आमाछोदिङमो
371,33,4,RURAL_MUNICIPALITY,Uttargaya,उत्तरगया
372,34,3,MUNICIPALITY,Kamalamai,कमलामाई
373,34,3,MUNICIPALITY,Dudhauli,दुधौली
374,34,4,RURAL_MUNICIPALITY,Sunkoshi,सुनकोशी
375,34,4,RURAL_MUNICIPALITY,Hariharpurgadhi,हरिहरपुरगढी
376,34,4,RURAL_MUNICIPALITY,Tinpatan,तीनपाटन
377,34,4,RURAL_MUNICIPALITY,Marin,मरिण
378,34,4,RURAL_MUNICIPALITY,Golanjor,गोलन्जर
379,34,4,RURAL_MUNICIPALITY,Phikkal,फिक्कल
380,34,4,RURAL_MUNICIPALITY,Ghyanglekh,घ्याङलेख
381,35,3,MUNICIPALITY,Chautara Sangachowkgadi,चौतारा साँगाचोकगढी
382,35,3,MUNICIPALITY,Bahrabise,बाह्रविसे
383,35,3,MUNICIPALITY,Melamchi,मेलम्ची
384,35,4,RURAL_MUNICIPALITY,Balephi,बलेफी
385,35,4,RURAL_MUNICIPALITY,Sunkoshi,सुनकोशी
386,35,4,RURAL_MUNICIPALITY,Indrawati,ईन्द्रावती
387,35,4,RURAL_MUNICIPALITY,Jugal,जुगल
388,35,4,RURAL_MUNICIPALITY,Panchpokhari,पाँचपोखरी थाङपाल
389,35,4,RURAL_MUNICIPALITY,Bhotekoshi,भोटेकोशी
390,35,4,RURAL_MUNICIPALITY,Lisankhu,लिसङ्खु पाखर
391,35,4,RURAL_MUNICIPALITY,Helambu,हेलम्बु
392,35,4,RURAL_MUNICIPALITY,Tripurasundari,त्रिपुरासुन्दरी
393,36,3,MUNICIPALITY,Baglung,बागलुङ
394,36,3,MUNICIPALITY,Dhorpatan,ढोरपाटन
395,36,3,MUNICIPALITY,Galkot,गल्कोट
396,36,3,MUNICIPALITY,Jaimuni,जैमूनी
397,36,4,RURAL_MUNICIPALITY,Bareng,वरेङ
398,36,4,RURAL_MUNICIPALITY,Khathekhola,काठेखोला
399,36,4,RURAL_MUNICIPALITY,Taman Khola,तमानखोला
400,36,4,RURAL_MUNICIPALITY,Tara Khola,ताराखोला
401,36,4,RURAL_MUNICIPALITY,Nishi Khola,निसीखोला
402,36,4,RURAL_MUNICIPALITY,Badigad,वडिगाड
403,37,3,MUNICIPALITY,Gorkha,गोरखा
404,37,3,MUNICIPALITY,Palungtar,पालुङटार
405,37,4,RURAL_MUNICIPALITY,Sulikot,बारपाक सुलिकोट
406,37,4,RURAL_MUNICIPALITY,Siranchowk,सिरानचोक
407,37,4,RURAL_MUNICIPALITY,Ajirkot,अजिरकोट
408,37,4,RURAL_MUNICIPALITY,Chumnubri,चुमनुव्री
409,37,4,RURAL_MUNICIPALITY,Dharche,धार्चे
410,37,4,RURAL_MUNICIPALITY,Bhimsen Thapa,भिमसेनथापा
411,37,4,RURAL_MUNICIPALITY,Sahid Lakhan,शहिद लखन
412,37,4,RURAL_MUNICIPALITY,Aarughat,आरूघाट
413,37,4,RURAL_MUNICIPALITY,Gandaki,गण्डकी
414,38,1,METROPOLITAN_CITY,Pokhara,पोखरा
415,38,4,RURAL_MUNICIPALITY,Annapurna,अन्नपूर्ण
416,38,4,RURAL_MUNICIPALITY,Machhapuchchhre,माछापुच्छ्रे
417,38,4,RURAL_MUNICIPALITY,Madi,मादी
418,38,4,RURAL_MUNICIPALITY,Rupa,रूपा
419,39,3,MUNICIPALITY,Besisahar,बेसीशहर
420,39,3,MUNICIPALITY,Madhya Nepal,मध्यनेपाल
421,39,3,MUNICIPALITY,Rainas,रारइनास
422,39,3,MUNICIPALITY,Sundarbazar,सुन्दरबजार
423,39,4,RURAL_MUNICIPALITY,Dordi,दोर्दी
424,39,4,RURAL_MUNICIPALITY,Dudhpokhari,दूधपोखरी
425,39,4,RURAL_MUNICIPALITY,Kwhlosothar,क्व्होलासोथार
426,39,4,RURAL_MUNICIPALITY,Marsyangdi,मर्स्याङदी
427,40,4,RURAL_MUNICIPALITY,Chame,चामे
428,40,4,RURAL_MUNICIPALITY,Nason,नासोँ
429,40,4,RURAL_MUNICIPALITY,NarpaBhumi,नार्पा भूमि
430,40,4,RURAL_MUNICIPALITY,Manang Ngisyang,मनाङ ङिस्याङ
431,41,4,RURAL_MUNICIPALITY,Gharpajhong,घरपझोङ
432,41,4,RURAL_MUNICIPALITY,Thasang,थासाङ
433,41,4,RURAL_MUNICIPALITY,Barhagaun Muktichhetra,वारागुङ मुक्तिक्षेत्र
434,41,4,RURAL_MUNICIPALITY,Lomanthang,लोमन्थाङ
435,41,4,RURAL_MUNICIPALITY,Lo-Ghekar Damodarkunda,लो-घेकर दामोदरकुण्ड
436,42,3,MUNICIPALITY,Beni,बेनी
437,42,4,RURAL_MUNICIPALITY,Annapurna,अन्नपुर्ण
438,42,4,RURAL_MUNICIPALITY,Dhaulagiri,धवलागिरी
439,42,4,RURAL_MUNICIPALITY,Mangala,मंगला
440,42,4,RURAL_MUNICIPALITY,Malika,मालिका
441,42,4,RURAL_MUNICIPALITY,Raghuganga,रघुगंगा
442,43,3,MUNICIPALITY,Kawasoti,कावासोती
443,43,3,MUNICIPALITY,Gaindakot,गैडाकोट
444,43,3,MUNICIPALITY,Devachuli,देवचुली
445,43,3,MUNICIPALITY,Madhya Bindu,मध्यविन्दु
